Mean	SD	Sample	Group
1.33E+06	472581.5626	I2	Inox
1.37E+06	1051586.104	R2	Inox
3.57E+06	1068097.998	MG1655	Inox
1.37E+07	6027713.773	TG1	Inox
2.68E+06	2964415.344	I2	PE
1.18E+07	2081665.999	MG1655	PE
1.44E+07	9604863.785	R2	PE
6.35E+07	58410187.47	TG1	PE
1.42E+07	3244653.722	I2	Silicone
1.76E+07	787635.9377	MG1655	Silicone
2.04E+07	1387777.333	R2	Silicone
1.05E+08	10929064.21	TG1	Silicone
1.17E+06	275378.5274	R2	Titanium
1.20E+06	589491.3061	I2	Titanium
2.74E+06	2848846.258	MG1655	Titanium
1.52E+07	12209968.6	TG1	Titanium
